timestamp,model,prompt_set,concept_term,A1_fsn,A2_semantic_tag,A3_definition_status,A4_parents,A5_grandparents,A6_children,A7_siblings
2026-03-05T09:10:08.790304,gemini-3-flash-preview,set1,Acute myocardial infarction,Acute myocardial infarction (disorder),disorder,Fully defined,Myocardial infarction (disorder)|Acute ischemic heart disease (disorder),Ischemic heart disease (disorder)|Myocardial disease (disorder)|Necrosis of myocardium (disorder),Acute ST segment elevation myocardial infarction (disorder)|Acute non-ST segment elevation myocardial infarction (disorder)|Acute subendocardial myocardial infarction (disorder)|Acute myocardial infarction of anterior wall (disorder)|Acute myocardial infarction of inferior wall (disorder),Subsequent myocardial infarction (disorder)|Old myocardial infarction (disorder)|Angina pectoris (disorder)|Acute coronary syndrome (disorder)
2026-03-05T09:10:18.493460,gemini-3-flash-preview,set1,Atrial fibrillation,Atrial fibrillation (disorder),disorder,Fully defined,Atrial arrhythmia (disorder)|Supraventricular arrhythmia (disorder),Cardiac arrhythmia (disorder),Atrial fibrillation with rapid ventricular response (disorder)|Chronic atrial fibrillation (disorder)|Non-valvular atrial fibrillation (disorder)|Paroxysmal atrial fibrillation (disorder)|Permanent atrial fibrillation (disorder)|Persistent atrial fibrillation (disorder)|Valvular atrial fibrillation (disorder),Atrial flutter (disorder)|Atrial premature beats (disorder)|Atrial tachycardia (disorder)|Junctional arrhythmia (disorder)|Sinoatrial node dysfunction (disorder)|Sinus arrhythmia (disorder)|Supraventricular tachycardia (disorder)
2026-03-05T09:10:32.011784,gemini-3-flash-preview,set1,"Hypertensive disorder, systemic arterial","Hypertensive disorder, systemic arterial (disorder)",disorder,Fully defined,Disorder of systemic arterial system (disorder)|Vascular disorder (disorder),Disorder of cardiovascular system (disorder),Essential hypertension (disorder)|Secondary hypertension (disorder)|Hypertensive heart disease (disorder)|Hypertensive renal disease (disorder)|Benign hypertension (disorder)|Malignant hypertension (disorder)|Accelerated hypertension (disorder)|Hypertensive crisis (disorder),Aneurysm of systemic artery (disorder)|Arterial embolism and thrombosis (disorder)|Arterial stenosis (disorder)|Peripheral vascular disease (disorder)|Raynaud's phenomenon (disorder)|Systemic arteritis (disorder)
2026-03-05T09:10:42.914162,gemini-3-flash-preview,set1,Atherosclerosis,Atherosclerosis (disorder),disorder,Fully defined,Arteriosclerosis (disorder),Arteriopathy (disorder),Atherosclerosis of aorta (disorder)|Atherosclerosis of artery of limb (disorder)|Cerebral atherosclerosis (disorder)|Coronary artery atherosclerosis (disorder)|Renal artery atherosclerosis (disorder),Arteriolosclerosis (disorder)|Mönckeberg's arteriosclerosis (disorder)
2026-03-05T09:10:52.260992,gemini-3-flash-preview,set1,Embolus,Embolus (morphologic abnormality),morphologic abnormality,Primitive,Material (morphologic abnormality),Morphologic abnormality (morphologic abnormality),Air embolus (morphologic abnormality)|Amniotic fluid embolus (morphologic abnormality)|Bone marrow embolus (morphologic abnormality)|Fat embolus (morphologic abnormality)|Fibrin embolus (morphologic abnormality)|Foreign body embolus (morphologic abnormality)|Septic embolus (morphologic abnormality)|Thromboembolus (morphologic abnormality)|Trophoblastic embolus (morphologic abnormality)|Tumor embolus (morphologic abnormality),Calculus (morphologic abnormality)|Crystal (morphologic abnormality)|Foreign body (morphologic abnormality)|Sequestrum (morphologic abnormality)|Thrombus (morphologic abnormality)
2026-03-05T09:11:04.233153,gemini-3-flash-preview,set1,Ventricular tachycardia,Ventricular tachycardia (disorder),disorder,Fully defined,Tachyarrhythmia (disorder)|Ventricular arrhythmia (disorder),Cardiac arrhythmia (disorder)|Ventricular rhythm disorder (disorder),Paroxysmal ventricular tachycardia (disorder)|Sustained ventricular tachycardia (disorder)|Nonsustained ventricular tachycardia (disorder)|Polymorphic ventricular tachycardia (disorder)|Monomorphic ventricular tachycardia (disorder)|Torsades de pointes (disorder)|Right ventricular outflow tract tachycardia (disorder)|Fascicular tachycardia (disorder),Ventricular fibrillation (disorder)|Ventricular flutter (disorder)|Premature ventricular contractions (disorder)|Accelerated idioventricular rhythm (disorder)|Supraventricular tachycardia (disorder)|Junctional tachycardia (disorder)|Sinus tachycardia (disorder)|Atrial tachycardia (disorder)
2026-03-05T09:11:15.473997,gemini-3-flash-preview,set1,Apnea,Apnea (finding),finding,Primitive,Respiratory rhythm disorder (finding)|Respiratory arrest (finding),Abnormal breathing pattern (finding)|Finding of respiratory system (finding),Sleep apnea (finding)|Central apnea (finding)|Obstructive apnea (finding)|Mixed apnea (finding)|Apnea of newborn (finding)|Postoperative apnea (finding),Bradypnea (finding)|Tachypnea (finding)|Cheyne-Stokes respiration (finding)|Biot's respiration (finding)|Kussmaul respiration (finding)|Agonal respiration (finding)
2026-03-05T09:11:30.324555,gemini-3-flash-preview,set1,Cyanosis,Cyanosis (finding),finding,Primitive,Bluish discoloration (finding)|Discoloration of skin (finding),Discoloration (finding)|Skin finding (finding),Central cyanosis (finding)|Peripheral cyanosis (finding)|Generalized cyanosis (finding)|Circumoral cyanosis (finding)|Differential cyanosis (finding)|Traumatic cyanosis (finding),Blue skin (finding)|Jaundice (finding)|Erythema (finding)|Pallor (finding)|Hyperpigmentation of skin (finding)|Bluish discoloration of tongue (finding)
2026-03-05T09:11:40.491033,gemini-3-flash-preview,set1,Bronchitis,Bronchitis (disorder),disorder,Primitive,Bronchial disease (disorder)|Inflammation of lower respiratory tract (disorder),Lower respiratory tract disease (disorder)|Lung disease (disorder)|Inflammation of respiratory system (disorder),Acute bronchitis (disorder)|Chronic bronchitis (disorder)|Tracheobronchitis (disorder)|Asthmatic bronchitis (disorder)|Bronchitis of possible viral origin (disorder),Bronchiectasis (disorder)|Bronchial obstruction (disorder)|Bronchial spasm (disorder)|Bronchiolitis (disorder)|Tracheitis (disorder)
2026-03-05T09:12:04.275386,gemini-3-flash-preview,set1,Hyperglycemia,Hyperglycemia (finding),finding,Primitive,Increased glucose level (finding),Finding of glucose level (finding),Fasting hyperglycemia (finding)|Postprandial hyperglycemia (finding)|Neonatal hyperglycemia (finding)|Stress hyperglycemia (finding)|Dawn phenomenon (finding)|Somogyi effect (finding),Increased glucose level in specimen (finding)|Increased glucose level - finding (finding)
2026-03-05T09:12:14.416108,gemini-3-flash-preview,set1,Blood in urine,Blood in urine (finding),finding,Fully defined,Abnormal color of urine (finding)|Urinary tract finding (finding),Finding of color of urine (finding)|Urine finding (finding)|Finding of urinary system (finding),Visible blood in urine (finding)|Microscopic hematuria (finding)|Urethral bleeding (finding)|Initial hematuria (finding)|Terminal hematuria (finding),Dark urine (finding)|Pale urine (finding)|Cloudy urine (finding)|Dysuria (finding)|Urinary retention (finding)
2026-03-05T09:12:23.219548,gemini-3-flash-preview,set1,Oliguria,Oliguria (finding),finding,Primitive,Urinary output - finding (finding),Finding of renal system (finding)|Urinary tract finding (finding),Severe oliguria (finding),Anuria (finding)|Polyuria (finding)|Decreased urinary output (finding)|Increased urinary output (finding)|Normal urinary output (finding)
2026-03-05T09:12:36.331262,gemini-3-flash-preview,set1,Polyuria,Polyuria (finding),finding,Primitive,Abnormal urine volume (finding),Finding of urine volume (finding),Nocturnal polyuria (finding)|Osmotic polyuria (finding),Anuria (finding)|Oliguria (finding)
2026-03-05T09:12:55.487932,gemini-3-flash-preview,set1,Necrosis,Necrosis (morphologic abnormality),morphologic abnormality,Primitive,Cell death (morphologic abnormality),Morphologic abnormal structure (morphologic abnormality),Aseptic necrosis (morphologic abnormality)|Caseous necrosis (morphologic abnormality)|Coagulative necrosis (morphologic abnormality)|Fat necrosis (morphologic abnormality)|Fibrinoid necrosis (morphologic abnormality)|Gangrenous necrosis (morphologic abnormality)|Liquefactive necrosis (morphologic abnormality)|Myocytolysis (morphologic abnormality)|Necrosis of bone (morphologic abnormality)|Pressure necrosis (morphologic abnormality)|Zenker's necrosis (morphologic abnormality),Apoptosis (morphologic abnormality)|Autophagic cell death (morphologic abnormality)|Oncosis (morphologic abnormality)|Programmed cell death (morphologic abnormality)
2026-03-05T09:13:17.394425,gemini-3-flash-preview,set1,Ischemia,Ischemia (finding),finding,Primitive,Pathologic process (finding),Clinical finding (finding),Acute ischemia (finding)|Chronic ischemia (finding)|Cerebral ischemia (finding)|Myocardial ischemia (finding)|Focal ischemia (finding)|Mesenteric ischemia (finding)|Transient ischemia (finding),Inflammation (finding)|Gangrene (finding)|Necrosis (finding)|Atrophy (finding)|Edema (finding)|Hypertrophy (finding)|Infarction (finding)
2026-03-05T09:13:34.489577,gemini-3-flash-preview,set1,Sepsis,Sepsis (disorder),(disorder),Fully defined,Systemic inflammatory response syndrome caused by infection (disorder),Systemic inflammatory response syndrome (disorder)|Infection (disorder),Bacterial sepsis (disorder)|Septic shock (disorder)|Neonatal sepsis (disorder)|Sepsis with acute organ dysfunction (disorder)|Sepsis without organ dysfunction (disorder)|Puerperal sepsis (disorder)|Viral sepsis (disorder),None
2026-03-05T09:13:45.665546,gemini-3-flash-preview,set1,Malignant,Malignant (qualifier value),qualifier value,Primitive,Nature of neoplasm (qualifier value),Neoplastic characteristic (qualifier value),"Malignant, primary (qualifier value)|Malignant, metastatic (qualifier value)|Malignant, recurrence (qualifier value)",Benign (qualifier value)|In situ (qualifier value)|Uncertain whether benign or malignant (qualifier value)|Uncertain whether primary or metastatic (qualifier value)
2026-03-05T09:13:55.992798,gemini-3-flash-preview,set1,Benign,Benign (qualifier value),qualifier value,Primitive,Course (qualifier value),Clinical history and observations (qualifier value),Benign - progression (qualifier value)|Benign persistent (qualifier value),Acute (qualifier value)|Chronic (qualifier value)|Subacute (qualifier value)|Progressive (qualifier value)|Recurrent (qualifier value)|Relapsing (qualifier value)|Remittent (qualifier value)|Stable (qualifier value)|Fulminating (qualifier value)|Paroxysmal (qualifier value)|Cyclic (qualifier value)|Intermittent (qualifier value)
2026-03-05T09:14:09.038976,gemini-3-flash-preview,set1,Abscess,Abscess (disorder),disorder,Fully defined,Purulent inflammation (disorder),Inflammation (disorder),Acute abscess (disorder)|Chronic abscess (disorder)|Cold abscess (disorder)|Multiple abscesses (disorder)|Recurrent abscess (disorder)|Sterile abscess (disorder),Empyema (disorder)|Purulent cellulitis (disorder)|Pustule (disorder)|Pyoderma (disorder)|Suppurative hidradenitis (disorder)
2026-03-05T09:14:17.908628,gemini-3-flash-preview,set1,Edema,Edema (finding),finding,Primitive,Soft tissue finding (finding),Finding by site (finding),Localized edema (finding)|Generalized edema (finding)|Pitting edema (finding)|Non-pitting edema (finding)|Dependent edema (finding)|Peripheral edema (finding)|Angioedema (finding),Atrophy of soft tissue (finding)|Hypertrophy of soft tissue (finding)|Soft tissue mass (finding)|Soft tissue swelling (finding)|Soft tissue tenderness (finding)
2026-03-05T09:14:28.044917,gemini-3-flash-preview,set1,Intubation,Intubation (procedure),procedure,Primitive,Introduction (procedure),Insertion (procedure),Tracheal intubation (procedure)|Gastric intubation (procedure)|Intubation of esophagus (procedure)|Laryngeal intubation (procedure)|Nasogastric intubation (procedure)|Orogastric intubation (procedure)|Trans-tracheal intubation (procedure),Artificial feeding (procedure)|Implantation (procedure)|Infusion (procedure)|Inhalation (procedure)|Injection (procedure)|Instillation (procedure)|Irrigation (procedure)
