timestamp,model,prompt_set,concept_term,B1_official_name,B2_kind,B3_category_type,B4_immediate_broader,B5_grandparents,B6_immediate_narrower,B7_peer_terms
2026-03-05T10:41:42.185002,gemini-3-flash-preview,set2,Acute myocardial infarction,Acute myocardial infarction,Disease or Syndrome,Fully defined,Myocardial infarction|Acute ischemic heart disease,Ischemic heart disease|Myocardial disease,ST elevation myocardial infarction|Non-ST elevation myocardial infarction|Acute Q-wave myocardial infarction|Acute non-Q-wave myocardial infarction|Acute subendocardial myocardial infarction|Acute transmural myocardial infarction,Old myocardial infarction|Subsequent myocardial infarction|Silent myocardial infarction|Healed myocardial infarction
2026-03-05T10:41:47.638314,gemini-3-flash-preview,set2,Atrial fibrillation,Atrial fibrillation,Disease or Syndrome,Fully defined,Atrial arrhythmia|Supraventricular arrhythmia,Cardiac arrhythmia|Heart disease,Paroxysmal atrial fibrillation|Persistent atrial fibrillation|Permanent atrial fibrillation|Atrial fibrillation with rapid ventricular response,Atrial flutter|Supraventricular tachycardia|Junctional tachycardia
2026-03-05T10:41:54.214726,gemini-3-flash-preview,set2,"Hypertensive disorder, systemic arterial","Most precise official-style name: Hypertensive disorder, systemic arterial",What kind of thing it is (semantic type): Disease or Syndrome,Category type (Primitive / Fully defined): Fully defined,Disorder of systemic artery|Disorder of blood pressure,Cardiovascular system disease|Clinical finding,"Essential hypertension|Secondary hypertension|Malignant hypertension|Hypertensive encephalopathy|Hypertension complicating pregnancy, childbirth and the puerperium",Systemic arterial hypotension|Normal systemic arterial blood pressure|Labile blood pressure|Venous hypertension
2026-03-05T10:41:59.540207,gemini-3-flash-preview,set2,Atherosclerosis,Atherosclerosis,Disease or Syndrome,Fully defined,Arteriosclerosis,Vascular disease|Cardiovascular system disease,Coronary artery atherosclerosis|Atherosclerosis of aorta|Carotid artery atherosclerosis|Cerebral atherosclerosis|Peripheral artery atherosclerosis,Mönckeberg's arteriosclerosis|Arteriolosclerosis
2026-03-05T10:42:23.266488,gemini-3-flash-preview,set2,Embolus,Embolus,Physical object,Primitive,Physical object,SNOMED CT Concept,Thromboembolus|Fat embolus|Air embolus|Septic embolus|Amniotic fluid embolus|Tumor embolus|Foreign body embolus,Thrombus|Foreign body|Calculus
2026-03-05T10:42:29.051658,gemini-3-flash-preview,set2,Ventricular tachycardia,Ventricular tachycardia,Disease or Syndrome,Fully defined,Ventricular arrhythmia|Tachyarrhythmia,Cardiac arrhythmia|Heart disease,Monomorphic ventricular tachycardia|Polymorphic ventricular tachycardia|Sustained ventricular tachycardia|Non-sustained ventricular tachycardia|Torsades de pointes,Ventricular fibrillation|Ventricular premature beats|Accelerated idioventricular rhythm
2026-03-05T10:42:33.637701,gemini-3-flash-preview,set2,Apnea,Apnea,Finding,Primitive,Abnormal breathing|Respiration disorders,"Signs and symptoms, respiratory|Respiratory tract diseases",Sleep apnea|Central apnea|Obstructive apnea|Apnea neonatorum|Deglutition apnea,Dyspnea|Bradypnea|Tachypnea|Hypopnea|Hyperpnea|Orthopnea
2026-03-05T10:42:51.283035,gemini-3-flash-preview,set2,Cyanosis,Cyanosis,Finding / Sign or Symptom,Primitive,Bluish discoloration of skin|Finding of skin color,Discoloration of skin|Finding of the integumentary system,Central cyanosis|Peripheral cyanosis|Acrocyanosis|Circumoral cyanosis,Pallor|Jaundice|Erythema|Hyperpigmentation|Hypopigmentation
2026-03-05T10:42:57.907768,gemini-3-flash-preview,set2,Bronchitis,Bronchitis,Disease or Syndrome,Fully defined,Bronchial disease|Inflammation of respiratory tract,Respiratory tract disease|Pathologic process,Acute bronchitis|Chronic bronchitis|Asthmatic bronchitis|Bronchiolitis,Bronchiectasis|Bronchial spasm|Bronchial fistula|Bronchostenosis
2026-03-05T10:43:05.895573,gemini-3-flash-preview,set2,Hyperglycemia,Hyperglycemia,Finding,Fully defined,Glucose metabolism disorder|Finding of glucose concentration,Metabolic disorder|Finding of blood constituent,Fasting hyperglycemia|Postprandial hyperglycemia|Neonatal hyperglycemia|Gestational hyperglycemia,Hypoglycemia|Euglycemia
2026-03-05T10:43:13.524948,gemini-3-flash-preview,set2,Blood in urine,Hematuria,Finding,Fully defined,Urinary finding|Finding of blood in specimen from urinary system,Clinical finding|Finding of body substance,Gross hematuria|Microscopic hematuria|Painless hematuria,Proteinuria|Glycosuria|Pyuria|Bilirubinuria
2026-03-05T10:43:21.502804,gemini-3-flash-preview,set2,Oliguria,Oliguria,Clinical finding,Fully defined,Decreased urine output,Finding of urine output,Severe oliguria,Anuria|Polyuria
2026-03-05T10:43:28.375427,gemini-3-flash-preview,set2,Polyuria,Polyuria,Finding,Primitive,Disorder of urinary output|Increased urine volume,Urinary system finding|Clinical finding,Nocturnal polyuria|Psychogenic polyuria|Gestational polyuria,Oliguria|Anuria|Pollakisuria|Dysuria
2026-03-05T10:43:38.906133,gemini-3-flash-preview,set2,Necrosis,Necrosis,Pathologic Process,Fully defined,Cell death|Morphologic abnormality,Biological process|Pathological process,Coagulative necrosis|Liquefactive necrosis|Caseous necrosis|Fat necrosis|Fibrinoid necrosis|Gangrenous necrosis,Apoptosis|Atrophy|Hypertrophy|Hyperplasia|Metaplasia
2026-03-05T10:43:44.845774,gemini-3-flash-preview,set2,Ischemia,Ischemia,Disease or Syndrome,Fully defined,Vascular Diseases|Pathologic Processes,Cardiovascular Diseases|Biological Process,Myocardial Ischemia|Cerebral Ischemia|Mesenteric Ischemia|Ischemia-Reperfusion Injury|Critical Limb Ischemia,Infarction|Hyperemia|Hemorrhage|Thrombosis|Embolism|Angiospasm
